sex,f,a0,a1,a2,a3,a4,a5,a6,p0,p1,p2,p3,p4,p5,q0,q1,agebound,l0,l1,m0,m1,s0,s1
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,29.25,0,0,0.1554,0.1534,-0.0645,-0.0638
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,29.5,0,0,0.1534,0.1514,-0.0638,-0.0631
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,29.75,0,0,0.1514,0.1495,-0.0631,-0.0625
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,30,0,0,0.1495,0.1475,-0.0625,-0.0619
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,30.25,0,0,0.1475,0.1455,-0.0619,-0.0613
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,30.5,0,0,0.1455,0.1436,-0.0613,-0.0608
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,30.75,0,0,0.1436,0.1417,-0.0608,-0.0603
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,31,0,0,0.1417,0.1397,-0.0603,-0.0598
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,31.25,0,0,0.1397,0.1378,-0.0598,-0.0593
1,FEV1,-10.342,2.2196,0.0574,-0.1589,-0.0351,-0.0881,-0.0708,-2.3268,0.0798,0.1096,-0.3973,0.0327,0.0114,0.8866,0.085,31.5,0,0,0.1378,0.1359,-0.0593,-0.0589
